"machine","location_type","num_vendex_nearby_300","train_AvgDailyPassengers","train_AvgWorkingDayPassengers","n_density_5km","income_average","total_number_of_routes_600","num_hotels","num_hotels_45","small_machine"
1498,"transport",34,396300,441400,4515.98407281001,6098400,845,42,11,1
1499,"transport",34,396300,441400,4515.98407281001,60984,845,42,11,1
1500,"transport",11,101400,112900,4229.37931034483,56368,229,9,4,0
1501,"transport",34,396300,441400,4515.98407281001,60984,845,42,11,0
1502,"transport",4,91500,105200,1425.91019417476,54617,184,5,1,1
1503,"transport",4,91500,105200,1425.91019417476,54617,184,5,1,0
1504,"transport",1,4800,5600,1056.9733924612,61649,27,1,0,0
1505,"transport",2,5000,6000,228.43137254902,58191,27,0,0,0
1506,"transport",6,NA,NA,2201.1479944675,50343,NA,0,0,0
1507,"transport",3,220,240,441.451247165533,52088,21,2,0,1
1508,"transport",6,NA,NA,2201.1479944675,5034300,NA,0,0,1
1509,"transport",1,3300,3800,1577.01735357918,54010,14,1,0,0
1510,"transport",0,NA,NA,647.196850393701,5539500,4,0,0,1
1511,"transport",2,13000,16500,3771.81571815718,60984,50,6,2,0
1512,"transport",1,470,560,120.405616224649,56094,13,0,0,1
1513,"transport",0,14500,16800,359.087799315849,47040,44,1,0,1
1514,"others",2,NA,NA,2028.84199134199,51792,55,11,7,1
1515,"transport",1,180700,202600,1878.81147540984,51792,4,0,0,1
1516,"transport",1,890,1100,203.64161849711,38699,NA,0,0,0
1517,"transport",0,NA,NA,240.176848874598,48721,5,1,0,1
1518,"transport",5,16900,20400,522.104499274311,64268,19,0,0,0
1519,"transport",5,16900,20400,522.104499274311,64268,19,0,0,0
1521,"petrol station",3,NA,NA,496.848072562358,56094,18,0,0,0
1522,"petrol station",3,NA,NA,496.848072562358,NA,18,0,0,1
1523,"transport",3,4700,5600,861.693290734824,40793,37,0,0,1
1524,"transport",3,4700,5600,861.693290734824,40793,37,0,0,1
1525,"transport",3,6100,7000,1183.45921450151,59198,24,2,2,0
1526,"transport",1,2600,2900,240.536363636364,54957,19,0,0,1
1527,"transport",3,7400,8800,853.201483312732,81771,51,2,0,0
1528,"transport",2,740,920,495.011261261261,45908,21,0,0,1
1529,"transport",2,820,920,562.82131661442,54925,8,1,0,0
1530,"transport",9,101400,112900,4927.30158730159,56368,82,2,1,1
1531,"transport",9,101400,112900,4927.30158730159,56368,82,2,1,1
1532,"transport",9,101400,112900,4927.30158730159,56368,82,2,1,0
